ngram,min_df,max_df,max_feature,C,f_score_weighted
"(1, 4)",10,0.3,100000,0.1,0.722068094430114
"(1, 4)",10,0.3,100000,1,0.789444932908533
"(1, 4)",10,0.3,100000,5,0.776672321462137
"(1, 4)",10,0.3,100000,10,0.773399247545193
"(1, 4)",10,0.3,100000,20,0.771749965206852
"(1, 4)",20,0.1,50000,0.1,0.709278278220285
"(1, 4)",20,0.1,50000,1,0.786411105663638
"(1, 4)",20,0.1,50000,5,0.764893075454226
"(1, 4)",20,0.1,50000,10,0.759058323632404
"(1, 4)",20,0.1,50000,20,0.754300864402052
"(1, 4)",20,0.1,100000,0.1,0.709278278220285
"(1, 4)",20,0.1,100000,1,0.78634481235025
"(1, 4)",20,0.1,100000,5,0.764930363780595
"(1, 4)",20,0.1,100000,10,0.75906671447961
"(1, 4)",20,0.1,100000,20,0.754288103130163
"(1, 4)",20,0.2,50000,0.1,0.719436945971137
"(1, 4)",20,0.2,50000,1,0.788459733129935
"(1, 4)",20,0.2,50000,5,0.766297303561191
"(1, 4)",20,0.2,50000,10,0.759925808614995
"(1, 4)",20,0.2,50000,20,0.757722297199455
"(1, 4)",20,0.2,100000,0.1,0.719436945971137
"(1, 4)",20,0.2,100000,1,0.78845932162675
"(1, 4)",20,0.2,100000,5,0.766464873596957
"(1, 4)",20,0.2,100000,10,0.759931984586422
"(1, 4)",20,0.2,100000,20,0.757578507656871
"(1, 4)",20,0.3,50000,0.1,0.722393327656779
"(1, 4)",20,0.3,50000,1,0.78994789495702
"(1, 4)",20,0.3,50000,5,0.767788371634034
"(1, 4)",20,0.3,50000,10,0.761751316652994
"(1, 4)",20,0.3,50000,20,0.758488433253738
"(1, 4)",20,0.3,100000,0.1,0.722393327656779
"(1, 4)",20,0.3,100000,1,0.790124667797183
"(1, 4)",20,0.3,100000,5,0.767713921869858
"(1, 4)",20,0.3,100000,10,0.761710297784805
"(1, 4)",20,0.3,100000,20,0.758684264291708
